target,ctx,n_val,val_min,val_min_step,val_final,val_final_minus_min
blaine,24,10,0.0276099126785993,300,0.0278940927237272,0.0002841800451278999
blaine,73,10,0.0234365127980709,100,0.0259936079382896,0.0025570951402187
blaine,128,10,0.0252815037965774,100,0.0265010371804237,0.0012195333838462968
blaine,168,10,0.024177024140954,900,0.0242202747613191,4.325062036510119e-05
blaine,256,10,0.0274727474898099,200,0.0277573242783546,0.00028457678854469995
blaine,384,10,0.0255839135497808,900,0.0257353615015745,0.0001514479517936984
blaine,512,10,0.0244375579059124,1000,0.0244375579059124,0.0
blaine,768,10,0.0205585751682519,900,0.0206682048738002,0.00010962970554830032
blaine,1024,10,0.0185821615159511,1000,0.0185821615159511,0.0
residue,24,10,0.0718645676970481,200,0.0742543414235115,0.002389773726463401
residue,73,10,0.0772315636277198,100,0.0810361206531524,0.0038045570254326005
residue,128,10,0.0580435059964656,100,0.0639551654458046,0.005911659449338996
residue,168,10,0.0615762770175933,100,0.0658399239182472,0.004263646900653895
residue,256,10,0.0536666400730609,300,0.0559985302388668,0.0023318901658059
residue,384,10,0.0540208369493484,300,0.055905882269144,0.0018850453197956016
residue,512,10,0.0461770258843898,700,0.0465606860816478,0.0003836601972579956
residue,768,10,0.0271433517336845,900,0.0271977931261062,5.4441392421698126e-05
residue,1024,10,0.0247462075203657,900,0.0247810166329145,3.480911254880037e-05
