RP_roller_p1,RP_roller_p2,RP_sep_rpm,RP_sep_fan_damper,RP_sep_BF_damper,mill_BF_damper,mill_sep_rpm,mill_sep_fan_damper,grind_aid,RP_spac,RP_skew,RP_roller_energy1,RP_roller_energy2,RP_roller_vib,RP_BE_energy1,RP_BE_energy2,RP_sep_BF_pressure,dosing_BE_energy,mill_feed_c,mill_feed_cir,mill_energy,mill_in_temp,mill_out_temp,mill_BE_energy,mill_out_gas_temp,mill_out_mater_temp,mill_BF_pressure,mill_sep_BF_pressure,mill_sep_BF_fan_damper,final_BE_1,final_BE_2,final_mater_temp,feed_total,feed_clinker,feed_gypsum,feed_slag,feed_FA,blaine,residue,blaine_prev,residue_prev,blaine_target,residue_target
74,73,463,100,60,25,1112,100,149.4,46,1,147,144,1,0,124,-103,22,364,576,163,50,58,68,109,115,-149,-283,30,88,77,95,223.2,189.6,11.3,11.1,11.2,3550,8.9,3720,8.7,3800,8
73,77,390,100,60,15,1165,100,151.2,43,0,145,133,1.5,0,124,-84,20,338,546,172,34,43,71,95,101,-132,-236,30,90,78,78,221.1,190.1,11.2,11,8.8,3700,7.8,3860,8.5,3800,8
68,77,445,100,60,15,1156,100,151.2,49,0,148,141,1.3,0,125,-68,19,389,613,161,46,54,71,99,105,-115,-224,30,90,78,88,217.2,186.7,11,10.8,8.7,3780,8.2,3590,8.5,3800,8
78,79,462,100,60,15,1146,100,158.4,48,0,159,151,1.1,0,121,-72,20,398,613,168,45,53,74,101,108,-121,-219,30,72,61,89,220.2,186.3,10.7,11,12.2,3570,8.6,3680,8.3,3800,8
74,76,446,100,60,20,1139,100,199.8,42,7,153,146,1.2,0,124,-86,20,360,571,168,49,56,70,110,116,-128,-268,30,85,77,95,217.9,184.8,11.3,10.9,10.9,3610,8.7,3590,8.6,3800,8
78,77,454,100,60,20,1145,100,210.6,48,0,149,147,1.2,0,124,-79,20,365,574,169,51,56,68,113,119,-137,-258,30,66,61,98,219.4,184.8,11.6,10.9,12.1,3840,8.5,3720,8.4,3800,8
81,83,404,100,60,20,1119,100,210.6,45,1,149,142,1,0,122,-84,20,384,587,166,57,61,72,112,117,-141,-270,30,87,77,96,217.8,183.9,11.5,10.9,11.5,3780,8.7,3780,9,3800,8
81,83,472,100,60,25,1102,100,149.4,43,1,154,147,1.2,0,122,-77,20,413,626,168,56,59,77,115,121,-155,-275,45,87,75,100,220.8,186,12.6,11,11.2,3800,9,3820,8.1,3800,8
76,85,467,100,40,30,1037,100,156.1,35,1,141,122,0.6,79,80,-167,20,336,569,163,37,44,64,106,111,-159,-290,40,80,73,101,207.4,178.3,12.4,10.4,6.3,3770,4.5,3790,4.7,3800,8
